상품명,키워드
어린쑥 진정맑은 클렌징 오일 200ml,"피지, 진정, 트러블, 건성, 모공, 지성, 각질, 보습, 수분, 여드름, 주름, 쫀쫀, 탄력, 예민"
백화고 아이크림 25ml,"주름, 기미, 쫀쫀, 보습, 탄력, 트러블, 건성, 수분, 잡티, 촉촉"
마이크로미셀라 솝베리 모이스춰 버블폼 300ml,"트러블, 쫀쫀, 여드름, 건성, 지성, 피지, 보습, 모공, 수분"
래디언씨 더블 액티브 브라이트닝 에센스 30g,"잡티, 탄력, 기미, 트러블, 수분, 건성, 주름, 보습, 촉촉, 쫀쫀, 모공, 진정, 각질, 지성, 여드름, 산뜻"
비타민 선크림 SPF50+/PA++++ 50ml,"트러블, 건성, 수분, 보습, 기미, 촉촉, 지성, 잡티, 탄력"
맨 오가니언스 2종 세트,"트러블, 보습, 수분, 진정, 건성, 여드름, 지성, 촉촉, 예민"
애플씨드 클렌징 오일 150ml,"피지, 트러블, 모공, 여드름, 건성, 지성, 예민, 수분, 각질"
파워부스팅 스페셜세트 2종,"수분, 보습, 각질, 트러블, 탄력, 진정, 주름, 피지, 지성, 건성, 촉촉, 산뜻, 쫀쫀"
테라크네365 클리어 딥 클렌징 폼 200g,"트러블, 여드름, 피지, 각질, 지성, 건성, 모공, 수분, 쫀쫀, 보습, 진정, 예민"
래디언씨 크림 30ml,"잡티, 기미, 수분, 보습, 트러블, 건성, 여드름, 탄력, 지성, 촉촉, 진정, 주름, 쫀쫀, 예민, 모공"
로즈 하이드라 글로리 앰플 50ml,"보습, 수분, 쫀쫀, 건성, 탄력, 여드름, 트러블, 모공, 각질, 지성"
저자극 이지워시 선크림 SPF50+/PA++++ 150ml,"트러블, 수분, 건성, 여드름, 모공, 지성, 보습"
마스카라 전용 리무버 80ml,트러블
에이시카 365 수분 진정 크림 60ml,"진정, 수분, 트러블, 여드름, 보습, 건성, 각질, 지성, 탄력, 주름"
크리미 클렌징 폼 200ml,"보습, 트러블, 건성, 수분, 모공, 쫀쫀, 진정, 지성, 여드름, 각질, 촉촉, 탄력"
스템Ⅲ 2종 기획세트,"건성, 수분, 주름, 탄력, 보습, 트러블, 촉촉, 각질, 피지, 진정, 모공, 여드름"
아토베리어 365 크림 80ml,"보습, 건성, 수분, 트러블, 진정, 여드름, 지성, 예민, 촉촉, 탄력, 모공, 쫀쫀"
